epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,656972.0625,,147.58297729492188,,105.939208984375,
0,99,,651847.875,,7280344432640.0,,7280344432640.0,
0,149,,647361.625,,143.633544921875,,102.59896087646484,
0,199,,642968.25,,725904064512.0,,725904064512.0,
0,246,,,,,,,104.79660034179688
0,246,649666.875,,18834543083520.0,,18834543083520.0,,
1,249,,639094.625,,60661500.0,,60661460.0,
1,299,,630317.75,,470817964032.0,,470817964032.0,
1,349,,627663.875,,140.73910522460938,,100.9531021118164,
1,399,,618788.5,,2852101.25,,2852062.0,
1,449,,612300.375,,147.5347442626953,,108.72260284423828,
1,493,,,,,,,101.87277221679688
1,493,622916.125,,6065997479936.0,,6065997479936.0,,
2,499,,606294.125,,136.22689819335938,,97.79547119140625,
2,549,,600083.75,,128.04225158691406,,90.00448608398438,
2,599,,591324.4375,,183604330496.0,,183604330496.0,
2,649,,584018.125,,135.82711791992188,,98.8077163696289,
2,699,,576030.0625,,129.10177612304688,,92.58870697021484,
2,740,,,,,,,98.5089340209961
2,740,587734.9375,,2579817824256.0,,2579817824256.0,,
