epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,654485.5,,54907159707648.0,,54907159707648.0,
0,99,,651405.75,,311161651200.0,,311161651200.0,
0,149,,647552.125,,13529817022464.0,,13529817022464.0,
0,199,,644232.0,,282765262848.0,,282765262848.0,
0,246,,,,,,,104.79984283447266
0,246,649493.4375,,18775462117376.0,,18775462117376.0,,
1,249,,634804.625,,143.7053680419922,,103.46673583984375,
1,299,,630555.625,,150.91830444335938,,110.94900512695312,
1,349,,623842.625,,141.66085815429688,,102.1170883178711,
1,399,,619684.0,,6180356751360.0,,6180356751360.0,
1,449,,610249.25,,19633117184.0,,19633117184.0,
1,493,,,,,,,101.70818328857422
1,493,620917.375,,4152573820928.0,,4152573820928.0,,
2,499,,603978.125,,136.77549743652344,,98.49088287353516,
2,549,,597610.4375,,127.6744384765625,,89.79345703125,
2,599,,589055.6875,,140.4861602783203,,103.1474380493164,
2,649,,578615.6875,,18226832474112.0,,18226832474112.0,
2,699,,576147.5,,128.7618865966797,,92.24138641357422,
2,740,,,,,,,98.5430908203125
2,740,586403.75,,3912923348992.0,,3912923348992.0,,
