epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,656971.9375,,148.62326049804688,,106.97949981689453,
0,99,,652931.5625,,144.9513702392578,,103.563720703125,
0,149,,650435.0,,139.83892822265625,,98.60952758789062,
0,199,,643028.8125,,2013879730176.0,,2013879730176.0,
0,246,,,,,,,104.85919189453125
0,246,650546.0,,19278002651136.0,,19278002651136.0,,
1,249,,637942.6875,,1007638085632.0,,1007638085632.0,
1,299,,633457.1875,,36118740992.0,,36118740992.0,
1,349,,624721.375,,142.0896759033203,,102.49020385742188,
1,399,,618633.875,,147.24034118652344,,108.0267333984375,
1,449,,611499.875,,150.985595703125,,112.22418975830078,
1,493,,,,,,,101.83847045898438
1,493,622309.8125,,8590239203328.0,,8590239203328.0,,
2,499,,603994.875,,135.9896240234375,,97.70394897460938,
2,549,,596446.75,,132.08871459960938,,94.281494140625,
2,599,,590978.875,,141.629638671875,,104.16901397705078,
2,649,,583283.8125,,134.47877502441406,,97.50592041015625,
2,699,,572842.9375,,128.15480041503906,,91.84375762939453,
2,740,,,,,,,98.58160400390625
2,740,587413.5625,,3203073048576.0,,3203073048576.0,,
