epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,656395.375,,1426918473728.0,,1426918473728.0,
0,99,,651264.5,,31015579942912.0,,31015579942912.0,
0,149,,648723.1875,,139.6892852783203,,98.56839752197266,
0,199,,639896.25,,1353174351872.0,,1353174351872.0,
0,246,,,,,,,104.74064636230469
0,246,649585.9375,,14019332145152.0,,14019332145152.0,,
1,249,,635830.625,,85158883491840.0,,85158883491840.0,
1,299,,634295.75,,223797198848.0,,223797198848.0,
1,349,,624833.4375,,141.38394165039062,,101.77735137939453,
1,399,,616649.4375,,149.6570587158203,,110.5692367553711,
1,449,,608855.125,,147.47549438476562,,108.8817367553711,
1,493,,,,,,,101.68683624267578
1,493,621131.3125,,5557511520256.0,,5557511520256.0,,
2,499,,604109.5625,,137.77365112304688,,99.48070526123047,
2,549,,595172.5,,127.7587890625,,90.03234100341797,
2,599,,588353.25,,317245423616.0,,317245423616.0,
2,649,,582604.625,,135.06393432617188,,98.1341323852539,
2,699,,575038.375,,128.10623168945312,,91.65603637695312,
2,740,,,,,,,98.51725006103516
2,740,586450.5,,1367664754688.0,,1367664754688.0,,
