epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,656209.125,,147.98971557617188,,106.3943099975586,
0,99,,653941.375,,5022582272.0,,5022582272.0,
0,149,,648677.875,,138.90591430664062,,97.78789520263672,
0,199,,642828.875,,43530412097536.0,,43530412097536.0,
0,246,,,,,,,104.85435485839844
0,246,649646.75,,28724753858560.0,,28724753858560.0,,
1,249,,639432.5,,141.8602294921875,,101.3282470703125,
1,299,,632614.625,,77488122232832.0,,77488122232832.0,
1,349,,626166.0,,140.9752655029297,,101.28421783447266,
1,399,,619537.5625,,150.9579315185547,,111.68704223632812,
1,449,,613329.0,,118223747940352.0,,118223747940352.0,
1,493,,,,,,,101.94245147705078
1,493,622963.1875,,5479964606464.0,,5479964606464.0,,
2,499,,605402.3125,,140.02993774414062,,101.65503692626953,
2,549,,598165.875,,127.34978485107422,,89.43359375,
2,599,,589567.25,,17406932.0,,17406894.0,
2,649,,585350.5,,135.06214904785156,,97.95829010009766,
2,699,,575460.625,,127.7361831665039,,91.25921630859375,
2,740,,,,,,,98.58528900146484
2,740,588270.875,,1588053803008.0,,1588053803008.0,,
