epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,655643.375,,147.64154052734375,,106.08199310302734,
0,99,,649749.625,,37468475392.0,,37468475392.0,
0,149,,646765.0,,140.00289916992188,,99.00613403320312,
0,199,,644625.6875,,58817523712.0,,58817523712.0,
0,246,,,,,,,104.77764892578125
0,246,649880.875,,22634670587904.0,,22634670587904.0,,
1,249,,637106.875,,21153936572416.0,,21153936572416.0,
1,299,,630573.375,,152.198486328125,,112.22805786132812,
1,349,,624448.3125,,140.8195037841797,,101.23733520507812,
1,399,,616018.625,,4643937583104.0,,4643937583104.0,
1,449,,609172.25,,17281215102976.0,,17281215102976.0,
1,493,,,,,,,101.71694946289062
1,493,621571.25,,5989383274496.0,,5989383274496.0,,
2,499,,603968.0,,136.38055419921875,,98.0965805053711,
2,549,,597064.625,,127.64791870117188,,89.8015365600586,
2,599,,589016.75,,85824331776.0,,85824331776.0,
2,649,,584081.5625,,139.00503540039062,,101.98160552978516,
2,699,,573357.9375,,128.55062866210938,,92.20693969726562,
2,740,,,,,,,98.27360534667969
2,740,586602.5625,,1655907024896.0,,1655907024896.0,,
